,Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
108,Albania,,,5.2,7.7,6.9,11.5,12.0,5.7,5.4,4.9,5.1
9,Algeria*,69.8,60.5,96.9,106.3,105.2,113.1,116.3,111.7,120.6,135.9,138.9
109,Andorra,,,,,99.8,124.3,152.2,115.3,184.3,213.8,118.3
40,Argentina,,,367.7,344.4,348.8,366.1,,,,,
70,Armenia,,6.3,6.0,5.9,5.5,6.8,5.6,5.2,5.4,5.3,5.9
131,Australia,,,,,,314.2,326.6,321.0,305.5,,
122,Austria,,43.7,43.8,43.2,46.7,47.3,48.1,42.9,46.2,47.6,44.0
71,Azerbaijan,1.9,2.0,1.9,1.8,4.1,4.7,4.7,4.7,,1.4,1.4
21,Bahamas,,,,,,,733.7,849.7,892.1,842.0,
72,Bahrain,349.8,467.6,401.1,363.3,255.1,327.4,,,,,
64,Bangladesh,,,0.4,0.4,,,,,,,
22,Barbados,,591.5,632.7,619.8,560.7,574.1,577.0,538.9,465.6,518.3,439.1
86,Belarus,41.2,20.3,19.8,17.9,17.3,15.1,13.8,12.2,10.6,9.6,
123,Belgium,596.6,620.7,641.6,669.5,695.7,708.4,714.9,710.3,715.2,652.1,621.0
29,Belize,,,,50.9,,,172.4,,,,
37,Bermuda,806.0,665.8,,,,,,,,,
65,Bhutan,,,,,,4.9,5.3,9.3,5.1,6.1,1.7
41,Bolivia (Plurinational State of),,,64.4,56.8,66.6,71.0,72.3,83.2,64.8,70.7,
110,Bosnia and Herzegovina,,,35.3,38.7,40.5,38.2,,13.1,17.0,16.1,15.1
12,Botswana,,,,,,,775.4,886.4,810.3,,
42,Brazil,,,,347.0,341.6,339.0,336.9,366.6,364.2,368.9,330.1
59,Brunei Darussalam,132.9,148.8,144.1,120.4,,,,,,,
87,Bulgaria,48.8,47.9,47.6,39.0,42.0,42.9,41.9,41.1,33.6,33.1,34.2
0,Burundi,,,,,,5.1,5.6,3.3,5.2,4.6,4.2
15,Cabo Verde,,,,,,,,838.8,821.5,831.7,804.4
7,Cameroon,17.4,17.3,17.3,16.8,18.2,,,,,,
38,Canada,152.4,154.7,165.7,173.9,176.6,175.1,168.9,162.4,156.5,153.1,138.9
43,Chile,,,,127.2,130.3,138.3,140.2,129.8,132.7,113.4,
44,Colombia,,76.5,70.4,106.1,107.8,79.8,120.4,114.5,132.1,172.3,171.6
30,Costa Rica,,,,135.0,144.0,148.9,161.6,170.3,155.4,134.8,168.7
111,Croatia,28.3,26.2,26.3,24.4,25.0,25.9,24.3,22.7,20.2,21.0,19.2
73,Cyprus,13.5,16.9,12.8,12.8,13.4,15.5,20.1,15.7,14.7,13.1,11.6
88,Czech Republic,,231.0,212.0,186.6,189.1,171.7,161.0,171.2,182.9,172.2,174.6
16,Côte d'Ivoire,,,,,54.7,55.4,,,,,
96,Denmark,202.4,203.9,205.2,213.7,211.3,203.8,191.4,190.9,186.1,170.7,164.8
23,Dominican Republic,,,,,,,,,,57.8,
45,Ecuador,53.3,58.9,56.3,46.9,,,,,,,
10,Egypt,,,,0.1,0.1,0.2,0.2,0.2,0.4,,
